source_key,source_document,source_page,source_row,unit_name,title,activity_type,partners,participant_categories,volunteer_count,year_conducted
8f7a8152e7afd56de6ae37a4fd7de9db817a0ab6c15cb7ff85f0df290721c446,data-request-covp-urdaneta-leo-villanueva-2020-2025-SUMMARY-OF-VOLUNTEER-ACTIVITIES.pdf,3,1,Alaminos Campus,Project TUBAYON Sabay-sa Pag Ahon,Outreach,"PSU ALAMINOS, PSU Systems Teachi ng and Non- Teaching Staff","Teachers, SSC Students",55,2020
1f35f837d54e26afc8f56ec9fc53961b4a1e730710dbd963815fcd9e84c02082,data-request-covp-urdaneta-leo-villanueva-2020-2025-SUMMARY-OF-VOLUNTEER-ACTIVITIES.pdf,3,2,Alaminos Campus,Community Pantry in Adopted Barang of PSU Alaminos City,Outreach,"PSU Alaminos Facult y , Bolaney and Bisocol Barangay Council","Teachers, Barangay Council",20,2021
97d82d11c9f5e9b3cd868ab36b5ac698d569e3908793cd9bc2201d58ea6c8df6,data-request-covp-urdaneta-leo-villanueva-2020-2025-SUMMARY-OF-VOLUNTEER-ACTIVITIES.pdf,3,3,Alaminos Campus,"Technological Application Seminar to Barangay Bolaney and Bisoccol,Alaminos City, Pangasinan",Extension,"PSU Alaminos Facult y , Bolaney and Bisocol Barangay Council","Teacher, Barangay Council, Parents",30,2021
ef94cf77feea2ff247cad16d1a8cf4ebbf9a7e7ecd472dde033e19566b70d8fd,data-request-covp-urdaneta-leo-villanueva-2020-2025-SUMMARY-OF-VOLUNTEER-ACTIVITIES.pdf,3,4,Alaminos Campus,"World Environmental Day -REI- refreshing World thru Planting , Environmental Pr otection and Coastal Clean Up",Extension /Outreach,"PSU Alaminos , Faculty & Non- Teaching Staff, SSC ,Students, Vice Mayor of Alaminos City Ho. Ion Fontelera, Hon. Apple Joy Bacay, Hon. Raul Bacay, Alaminos City Nation High School Batch '80, Ms. Angelique Aquino, Miss Iya De Vera, JCI Hundred Islands, the Fraternal Order of Eagles Hundred Islands Chapter, Bolaney Council","Teachers, Non- Teaching Staff, Students, Vice Mayor Ion Fontelera, Barangay Officials of Bolaney, AEGLES, JCI, Hon. Apple Joy Bacay- Tolentino, Hon . Raul Bacay, Alaminos City National High School Batch '80. Miss Angelique Ancheta, Miss Iya De Vera",700,2024
2ed497f53cb8a6079d60cafceab40483ef97b8bf5457f220369ebd8ba9df67cb,data-request-covp-urdaneta-leo-villanueva-2020-2025-SUMMARY-OF-VOLUNTEER-ACTIVITIES.pdf,4,5,Alaminos Campus,Liwawa : Giving Light and Hope to the Community,Outreach,"PSU Alaminos Facult y , Pangapisan, and Poblacion, Barangay Council","Teachers, Non- Teaching Staff, Students, Barangay Officials of Pangapisan, Poblacion, Cayucay,KALIP I Selected Members",50,2024
57f978b7dab5e5714a503244f8ccae4cb77753963ca4c89ee6a00317be5a6e96,data-request-covp-urdaneta-leo-villanueva-2020-2025-SUMMARY-OF-VOLUNTEER-ACTIVITIES.pdf,4,6,Alaminos Campus,Repacking of Goods LGU Alaminos City,Outreach,"PSU Alaminos Faculty, LGU Alaminos, Selected PSU University Officials","Teachers, Non- Teaching Staff, Students, Selected Officials of PSU",150,2025
065ff5d4f46ddaa5c31a0fa75740ae0f5ab011ae5ca9e510bcb801334a17653a,data-request-covp-urdaneta-leo-villanueva-2020-2025-SUMMARY-OF-VOLUNTEER-ACTIVITIES.pdf,4,7,Alaminos Campus,PSU System Donation for Typhoon Emong,Outreach,"PSU SYSTEM , LGU ALAMINOS CITY, DSWD, Barangay Council of San Roque,","PSU President, VP Presidents, Directors, Teachers, Non- Teaching Staff, Departm ent Heads of LGU, Human Resources Officers",35,2025
644c2107d25f18dd25c7daef7e1d738b7ca91304030d9cda31974b4135657150,data-request-covp-urdaneta-leo-villanueva-2020-2025-SUMMARY-OF-VOLUNTEER-ACTIVITIES.pdf,4,8,Alaminos Campus,Adopt-A-Family Project Isasakatuparan,Extension,"PSU SYSTEM , LGU ALAMINOS CITY, DSWD, Barangay Council of San Roque,","PSU Engineering Dept. , Extension Coordinator, PRPIO, Brgy. Councilor",10,2025
d2a48109e3d7a14a697249a1e2ac512a63117d05186e12a1dad71cda0f0f6ce9,data-request-covp-urdaneta-leo-villanueva-2020-2025-SUMMARY-OF-VOLUNTEER-ACTIVITIES.pdf,5,9,Alaminos Campus,Alaminos City Extension Coordinator Emp owers Youth at an International UN/UNESCO event,Outreach,"PSU ALAMINOS CIT Y, INTERNATIONA L COUNCIL IN EDUCATION RESEARCH & TRAINING","Professors, Teachers, Students, Environmentali sts, Economists, School Administrators",298,2025
c9e4d5925ccb8deb1a530ac1ca461ab4f15496814d3275840bb4c0e363c849a4,data-request-covp-urdaneta-leo-villanueva-2020-2025-SUMMARY-OF-VOLUNTEER-ACTIVITIES.pdf,5,1,Asingan Campus,"Little Learners, Big Stories: Pedagogy Plus Nurtures Love for Reading (Phase 1)",Extension,Cabuloan Elementary School,"Faculty and staff of PSU- AC, elementary teachers and pupils of Cabuloan Elementary School",35,2021
